# geoip6.tsv  start 	 end 	 country (/前缀 20 聚合)
2404e000000000000000000000000000	2404efffffffffffffffffffffffffff	Japan
2404f000000000000000000000000000	2404ffffffffffffffffffffffffffff	Sri Lanka
24050000000000000000000000000000	24050fffffffffffffffffffffffffff	Japan
24051000000000000000000000000000	24051fffffffffffffffffffffffffff	Australia
24052000000000000000000000000000	24052fffffffffffffffffffffffffff	中国
24053000000000000000000000000000	24053fffffffffffffffffffffffffff	中国
24054000000000000000000000000000	24054fffffffffffffffffffffffffff	Thailand
24055000000000000000000000000000	24055fffffffffffffffffffffffffff	Indonesia
24056000000000000000000000000000	24056fffffffffffffffffffffffffff	New Zealand
24057000000000000000000000000000	24057fffffffffffffffffffffffffff	Japan
24058000000000000000000000000000	24058fffffffffffffffffffffffffff	Japan
24059000000000000000000000000000	24059fffffffffffffffffffffffffff	Australia
2405a000000000000000000000000000	2405afffffffffffffffffffffffffff	Thailand
2405b000000000000000000000000000	2405bfffffffffffffffffffffffffff	Australia
2405c000000000000000000000000000	2405cfffffffffffffffffffffffffff	South Korea
2405d000000000000000000000000000	2405dfffffffffffffffffffffffffff	Bhutan
2405e000000000000000000000000000	2405efffffffffffffffffffffffffff	中国
2405f000000000000000000000000000	2405ffffffffffffffffffffffffffff	Japan
24060000000000000000000000000000	24060fffffffffffffffffffffffffff	中国
24061000000000000000000000000000	24061fffffffffffffffffffffffffff	Japan
24062000000000000000000000000000	24062fffffffffffffffffffffffffff	中国
24063000000000000000000000000000	24063fffffffffffffffffffffffffff	Singapore
24064000000000000000000000000000	24064fffffffffffffffffffffffffff	South Korea
24065000000000000000000000000000	24065fffffffffffffffffffffffffff	Bangladesh
24066000000000000000000000000000	24066fffffffffffffffffffffffffff	Malaysia
24067000000000000000000000000000	24067fffffffffffffffffffffffffff	Pakistan
24068000000000000000000000000000	24068fffffffffffffffffffffffffff	Japan
24069000000000000000000000000000	24069fffffffffffffffffffffffffff	Viet Nam
2406a000000000000000000000000000	2406afffffffffffffffffffffffffff	Indonesia
2406b000000000000000000000000000	2406bfffffffffffffffffffffffffff	South Korea
2406c000000000000000000000000000	2406cfffffffffffffffffffffffffff	Australia
2406d000000000000000000000000000	2406dfffffffffffffffffffffffffff	South Korea
2406e000000000000000000000000000	2406efffffffffffffffffffffffffff	New Zealand
2406f000000000000000000000000000	2406ffffffffffffffffffffffffffff	Singapore
24070000000000000000000000000000	24070fffffffffffffffffffffffffff	Indonesia
24071000000000000000000000000000	24071fffffffffffffffffffffffffff	New Zealand
24072000000000000000000000000000	24072fffffffffffffffffffffffffff	South Korea
24073000000000000000000000000000	24073fffffffffffffffffffffffffff	Japan
24074000000000000000000000000000	24074fffffffffffffffffffffffffff	Malaysia
24075000000000000000000000000000	24075fffffffffffffffffffffffffff	Bangladesh
24076000000000000000000000000000	24076fffffffffffffffffffffffffff	Malaysia
24077000000000000000000000000000	24077fffffffffffffffffffffffffff	New Zealand
24078000000000000000000000000000	24078fffffffffffffffffffffffffff	中国
24079000000000000000000000000000	24079fffffffffffffffffffffffffff	Australia
2407a000000000000000000000000000	2407afffffffffffffffffffffffffff	Fiji
2407b000000000000000000000000000	2407bfffffffffffffffffffffffffff	Japan
2407c000000000000000000000000000	2407cfffffffffffffffffffffffffff	South Korea
2407d000000000000000000000000000	2407dfffffffffffffffffffffffffff	Pakistan
2407e000000000000000000000000000	2407efffffffffffffffffffffffffff	Singapore
2407f000000000000000000000000000	2407ffffffffffffffffffffffffffff	Bangladesh
24080000000000000000000000000000	24080fffffffffffffffffffffffffff	Japan
